电影名称,评分,类型,制片国家/地区,时间,票房
东方快车谋杀案 Murder on the Orient Express,6.8,剧情 / 犯罪 / 悬疑,马耳他/美国,2017年11月10日,2.2796亿
心理罪之城市之光,5.9,动作 / 犯罪 / 悬疑,中国大陆/中国香港,2017年12月22日,2.2344亿
解忧杂货店,5.0,剧情 / 奇幻,中国大陆,2017年12月29日,2.2237亿
欢乐好声音 Sing,8.1,喜剧 / 动画 / 歌舞,美国,2017年2月17日,2.1611亿
京城81号2 京城81号Ⅱ,3.7,剧情 / 悬疑 / 惊悚,中国大陆,2017年7月6日,2.1519亿
喜欢你,6.7,喜剧 / 爱情,中国大陆/中国香港,2017年4月27日,2.0877亿
帕丁顿熊2 Paddington 2,8.0,喜剧 / 动画 / 家庭,英国/法国/美国,2017年12月8日,2.0598亿
逆时营救,4.7,动作 / 科幻,中国大陆,2017年6月29日,2.0109亿
攻壳机动队 Ghost in the Shell,6.4,动作 / 科幻 / 犯罪,美国/印度/中国香港/中国大陆/加拿大,2017年4月7日,2.01亿
大话西游之大圣娶亲 西遊記大結局之仙履奇緣,9.2,喜剧 / 爱情 / 奇幻 / 古装,中国香港/中国大陆,2017年4月13日,1.8951亿
春娇救志明 春嬌救志明,7.0,剧情 / 喜剧 / 爱情,中国香港/中国大陆,2017年4月28日,1.7207亿
看不见的客人 Contratiempo,8.8,剧情 / 犯罪 / 悬疑 / 惊悚,西班牙,2017年9月15日,1.7146亿
蓝精灵：寻找神秘村 Smurfs: The Lost Village,6.2,喜剧 / 动画 / 奇幻 / 冒险,美国,2017年4月21日,1.7092亿
二十二,8.7,纪录片,中国大陆,2017年8月14日,1.6936亿
刺客信条 Assassin&#39;s Creed,5.3,动作 / 历史 / 科幻 / 冒险,美国/法国/英国/中国香港/中国台湾/马耳他/西班牙/加拿大,2017年2月24日,1.6104亿
非凡任务,6.2,剧情 / 动作 / 犯罪,中国大陆,2017年3月31日,1.5547亿
哆啦A梦：大雄的南极冰冰凉大冒险 ドラえもん のび太の南極カチコチ大冒険,6.5,动画 / 冒险,日本,2017年5月30日,1.4313亿
王牌保镖 The Hitman&#39;s Bodyguard,7.2,喜剧 / 动作 / 犯罪,美国/中国香港/保加利亚/荷兰/加拿大/英国/法国,2017年9月22日,1.3916亿
赛车总动员3：极速挑战 Cars 3,7.0,喜剧 / 动画 / 冒险,美国,2017年8月25日,1.366亿
十万个冷笑话2,7.3,喜剧 / 动画 / 奇幻,中国大陆,2017年8月18日,1.3311亿
异星觉醒 Life,6.5,科幻 / 惊悚 / 恐怖,英国/美国,2017年5月19日,1.276亿
父子雄兵,4.6,喜剧,中国大陆,2017年7月21日,1.246亿
傲娇与偏见,4.7,喜剧 / 爱情,中国大陆,2017年4月20日,1.2375亿
决战食神,4.6,剧情 / 动作,中国大陆/中国香港,2017年2月10日,1.1758亿
大卫贝肯之倒霉特工熊,4.5,喜剧 / 动画 / 冒险 / 家庭,中国大陆,2017年1月13日,1.1575亿
鲛珠传,4.2,喜剧 / 动作 / 爱情 / 奇幻,中国大陆/中国香港,2017年8月11日,1.1307亿
降临 Arrival,7.8,剧情 / 科幻,美国/加拿大,2017年1月20日,1.0886亿
极盗车神 Baby Driver,7.1,动作 / 犯罪 / 音乐,英国/美国,2017年8月25日,1.0836亿
十八洞村,6.8,剧情,中国大陆,2017年10月13日,1.0596亿
追捕,4.5,剧情 / 动作 / 犯罪 / 悬疑,中国香港/中国大陆,2017年11月24日,1.0568亿
七十七天,6.4,剧情 / 冒险,中国大陆,2017年11月3日,1.0359亿
东北往事之破马张飞,3.5,喜剧 / 动作,中国大陆,2017年2月3日,1.0304亿
游戏规则,4.1,剧情 / 动作,中国大陆,2017年2月10日,1.0304亿
冈仁波齐,7.7,剧情,中国大陆,2017年6月20日,9927万
绝世高手,5.9,喜剧,中国大陆,2017年7月7日,9740万
绑架者,4.8,动作 / 犯罪,中国大陆/中国台湾/中国香港,2017年3月31日,9527万
赛尔号大电影6：圣者无敌,4.9,儿童 / 动画 / 奇幻 / 冒险,中国大陆,2017年8月18日,9376万
降魔传,2.9,喜剧 / 奇幻,中国大陆,2017年11月17日,9011万
大护法,7.8,喜剧 / 动画 / 奇幻 / 冒险,中国大陆,2017年7月13日,8719万
银魂 銀魂,6.9,喜剧 / 动作 / 奇幻 / 冒险,日本,2017年9月1日,8100万
密战,4.3,剧情 / 动作 / 战争,中国大陆,2017年11月3日,7881万
烟花 打ち上げ花火、下から見るか？横から見るか？,5.5,剧情 / 动画,日本,2017年12月1日,7819万
银翼杀手2049 Blade Runner 2049,8.3,剧情 / 动作 / 科幻,美国/英国/加拿大/匈牙利,2017年10月27日,7601万
原谅他77次 原諒他77次,6.4,爱情,中国香港/中国大陆,2017年6月23日,7505万
血战湘江,5.0,喜剧 / 奇幻,中国大陆,2017年6月29日,6938万
至爱梵高·星空之谜 Loving Vincent,8.5,剧情 / 传记 / 动画,英国/波兰,2017年12月8日,6788万
狂兽 狂獸,4.9,剧情 / 动作 / 犯罪,中国香港/中国大陆,2017年11月10日,6700万
欢乐喜剧人,2.6,喜剧,中国大陆,2017年3月24日,6700万
破·局,6.1,动作 / 犯罪,中国大陆,2017年8月17日,6431万
闪光少女,7.2,喜剧 / 音乐,中国大陆,2017年7月20日,6422万
荡寇风云,6.0,传记 / 动作 / 历史 / 战争 / 古装,中国大陆/中国香港,2017年5月27日,6292万
明月几时有,6.9,剧情 / 历史 / 战争,中国大陆/中国香港,2017年7月1日,6264万
疯岳撬佳人,3.3,喜剧 / 爱情,中国大陆,2017年2月14日,6089万
龙之战,6.4,动作 / 历史 / 战争,中国大陆,2017年8月4日,5966万
合约男女,4.3,喜剧 / 爱情,中国大陆,2017年2月14日,5696万
巨额来电,5.6,剧情 / 犯罪,中国大陆/中国香港,2017年12月8日,5558万
亚瑟王：斗兽争霸 King Arthur: Legend of the Sword,6.9,动作 / 奇幻 / 冒险,英国/美国/澳大利亚,2017年5月12日,5470万
这就是命,4.2,喜剧 / 犯罪,中国大陆,2017年12月1日,5424万
我的爸爸是森林之王 The Son of Bigfoot,6.2,喜剧 / 动画 / 冒险,法国/比利时,2017年10月14日,5409万
刀剑神域：序列之争 劇場版 ソードアート・オンライン -オーディナル・スケール-,7.0,科幻 / 动画 / 冒险,日本,2017年9月15日,5382万
昆塔：反转星球,6.2,动画,中国大陆,2017年10月1日,5033万
引爆者,6.3,动作 / 犯罪,中国大陆,2017年11月24日,4856万
常在你左右,5.0,犯罪 / 悬疑,中国香港/中国大陆,2017年10月27日,4462万
喵星人,4.4,儿童 / 喜剧 / 奇幻,中国香港/中国大陆,2017年7月14日,4456万
猪猪侠之英雄猪少年,4.9,喜剧 / 动画 / 奇幻,中国大陆,2017年1月7日,4418万
声之形 聲の形,6.8,剧情 / 爱情 / 动画,日本,2017年9月8日,4412万
